"Time","ru"
2022-01-17 23:25:00,
2022-01-17 23:25:30,
2022-01-17 23:26:00,7593984
2022-01-17 23:26:30,7532544
2022-01-17 23:27:00,1064960
2022-01-17 23:27:30,1064960
2022-01-17 23:28:00,1069056
2022-01-17 23:28:30,1069056
2022-01-17 23:29:00,69218304
2022-01-17 23:29:30,87216128
2022-01-17 23:30:00,89464832
2022-01-17 23:30:30,89489408
2022-01-17 23:31:00,88502272

