"Time","free5gc"
2022-01-17 22:54:00,
2022-01-17 22:54:30,
2022-01-17 22:55:00,
2022-01-17 22:55:30,0.836
2022-01-17 22:56:00,0.838
2022-01-17 22:56:30,0.825
2022-01-17 22:57:00,0.828
2022-01-17 22:57:30,0.833
2022-01-17 22:58:00,0.830
2022-01-17 22:58:30,0.493
2022-01-17 22:59:00,0.484
2022-01-17 22:59:30,0.541
2022-01-17 23:00:00,0.556

