"Time","free5gc"
2022-01-05 20:24:13,0.467
2022-01-05 20:24:14,0.467
2022-01-05 20:24:15,0.467
2022-01-05 20:24:16,0.467
2022-01-05 20:24:17,0.467
2022-01-05 20:24:18,0.467
2022-01-05 20:24:19,0.467
2022-01-05 20:24:20,0.467
2022-01-05 20:24:21,0.539
2022-01-05 20:24:22,0.539
2022-01-05 20:24:23,0.539
2022-01-05 20:24:24,0.539
2022-01-05 20:24:25,0.539
2022-01-05 20:24:26,0.539
2022-01-05 20:24:27,0.539
2022-01-05 20:24:28,0.539
2022-01-05 20:24:29,0.539
2022-01-05 20:24:30,0.539
2022-01-05 20:24:31,0.539
2022-01-05 20:24:32,0.539
2022-01-05 20:24:33,0.539
2022-01-05 20:24:34,0.539
2022-01-05 20:24:35,0.539
2022-01-05 20:24:36,0.539
2022-01-05 20:24:37,0.539
2022-01-05 20:24:38,0.539
2022-01-05 20:24:39,0.539
2022-01-05 20:24:40,0.539
2022-01-05 20:24:41,0.539
2022-01-05 20:24:42,0.539
2022-01-05 20:24:43,0.539
2022-01-05 20:24:44,0.539
2022-01-05 20:24:45,0.539
2022-01-05 20:24:46,0.539
2022-01-05 20:24:47,0.539
2022-01-05 20:24:48,0.539
2022-01-05 20:24:49,0.539
2022-01-05 20:24:50,0.539
2022-01-05 20:24:51,0.533
2022-01-05 20:24:52,0.533
2022-01-05 20:24:53,0.533
2022-01-05 20:24:54,0.533
2022-01-05 20:24:55,0.533
2022-01-05 20:24:56,0.533
2022-01-05 20:24:57,0.533
2022-01-05 20:24:58,0.533
2022-01-05 20:24:59,0.533
2022-01-05 20:25:00,0.533

