Time,elasticsearch-master - statefulset,my-kibana-kibana - deployment,Total
2022-01-17 22:54:00,0.309762700785465,0.04279842042655048,0.35256112121201544
2022-01-17 22:54:15,0.3430378732744839,0.03286706574818093,0.3759049390226648
2022-01-17 22:54:30,0.3205526752143288,0.04889337834099168,0.36944605355532045
2022-01-17 22:54:45,0.3089766365993794,0.040436966435001435,0.34941360303438085
2022-01-17 22:55:00,0.28473095986778096,0.038293238799810475,0.32302419866759147
2022-01-17 22:55:15,0.3291788226133312,0.03529111224209254,0.3644699348554237
2022-01-17 22:55:30,0.2875174422525385,0.045484673788684336,0.3330021160412228
2022-01-17 22:55:45,0.378354600156416,0.03912300664433097,0.41747760680074697
2022-01-17 22:56:00,0.39273255210020586,0.04136867897737297,0.4341012310775788
2022-01-17 22:56:15,0.2766883037651556,0.030375796008727102,0.30706409977388266
2022-01-17 22:56:30,0.35834500761653293,0.04235270994151755,0.4006977175580505
2022-01-17 22:56:45,0.3057789839505809,0.04224191445444843,0.3480208984050293
2022-01-17 22:57:00,0.3136089122187865,0.04233867993749514,0.35594759215628163
2022-01-17 22:57:15,0.38511932765853224,0.04887496157029249,0.4339942892288247
2022-01-17 22:57:30,0.2142072116395774,0.04363640598206967,0.2578436176216471
2022-01-17 22:57:45,0.21742585994030816,0.037190158011475724,0.2546160179517839
2022-01-17 22:58:00,0.20404367948806515,0.03874063907598683,0.24278431856405197
2022-01-17 22:58:15,0.3665239691095876,0.0439526239185453,0.41047659302813294
2022-01-17 22:58:30,0.3556313501899701,0.031204509432585396,0.3868358596225555
2022-01-17 22:58:45,0.42469079775900814,0.043335334308913356,0.4680261320679215
2022-01-17 22:59:00,0.4415446018529084,0.043412757392363194,0.4849573592452716
2022-01-17 22:59:15,0.43117053614727224,0.034207651221476815,0.46537818736874903
2022-01-17 22:59:30,0.2922958724505864,0.032578525953097064,0.3248743984036835
2022-01-17 22:59:45,0.3561058352572911,0.03630856701848368,0.3924144022757748
2022-01-17 23:00:00,0.22365488517378665,0.03727421541885245,0.2609291005926391
