Time,core_mem,cu_mem,du_mem,ru_mem,Total_Mem
2022-01-17 22:54:00,,,,,0.0
2022-01-17 22:54:30,139837440.0,2985984.0,2854912.0,1331200.0,147009536.0
2022-01-17 22:55:00,139821056.0,8564736.0,8429568.0,7753728.0,164569088.0
2022-01-17 22:55:30,139821056.0,8421376.0,8388608.0,1064960.0,157696000.0
2022-01-17 22:56:00,139911168.0,8089600.0,999424.0,1064960.0,150065152.0
2022-01-17 22:56:30,139919360.0,122429440.0,362545152.0,1064960.0,625958912.0
2022-01-17 22:57:00,139919360.0,122429440.0,362545152.0,1064960.0,625958912.0
2022-01-17 22:57:30,139919360.0,122429440.0,362545152.0,1064960.0,625958912.0
2022-01-17 22:58:00,141606912.0,122503168.0,438300672.0,87191552.0,789602304.0
2022-01-17 22:58:30,141606912.0,122503168.0,438300672.0,87986176.0,790396928.0
2022-01-17 22:59:00,143421440.0,122626048.0,438706176.0,89268224.0,794021888.0
2022-01-17 22:59:30,143421440.0,122634240.0,438837248.0,89567232.0,794460160.0
2022-01-17 23:00:00,143421440.0,122634240.0,438837248.0,88555520.0,793448448.0
