Time,calico-kube-controllers - deployment,calico-node - daemonset,coredns - deployment,dns-autoscaler - deployment,kube-proxy - daemonset,nodelocaldns - daemonset, - deployment,Total
2022-01-17 22:54:00,34225936.751,309645066.6932,35089902.7427,10027852.6509,105759385.1557,71638163.61,9073987.3419,575460294.9454
2022-01-17 22:55:00,33806141.5319,304160774.3041,35108924.5778,10021041.6277,105995130.0456,72347083.0891,9100972.9067,570540068.0828999
2022-01-17 22:56:00,34602744.5366,312546822.1767,35107593.9534,10021424.2581,104753820.025,72296250.92,9164739.9597,578493395.8295
2022-01-17 22:57:00,34263765.7046,296192789.1982,35079106.2028,10028367.128,104858092.2291,72107421.6155,9178109.497,561707651.5752
2022-01-17 22:58:00,34249529.0272,306244816.248,35091438.2438,10025624.3142,105261084.2633,72079166.1395,9179005.7054,572130663.9413999
2022-01-17 22:59:00,34318816.8984,319115085.8032,35102116.6957,10021650.0627,105233026.4625,71996410.4692,9009735.5348,584796841.9265001
2022-01-17 23:00:00,33908184.8387,312508953.5694,35110878.6732,10035063.1241,105452734.3476,72350970.2628,9200911.4827,578567696.2985
