Time,calico-kube-controllers - deployment,calico-node - daemonset,coredns - deployment,dns-autoscaler - deployment,kube-proxy - daemonset,nodelocaldns - daemonset, - deployment,Total
2022-01-17 22:54:00,0.0125,0.3428,0.02,0.0011,0.0783,0.0195,0.0006,0.4748
2022-01-17 22:55:00,0.0128,0.3573,0.0167,0.0009,0.0766,0.0162,0.0003,0.4808
2022-01-17 22:56:00,0.0125,0.3404,0.014,0.0008,0.0723,0.0238,0.0006,0.46440000000000003
2022-01-17 22:57:00,0.0103,0.342,0.0179,0.0008,0.062,0.023,0.0006,0.4566
2022-01-17 22:58:00,0.0124,0.3265,0.013,0.0009,0.0606,0.0191,0.0004,0.43290000000000006
2022-01-17 22:59:00,0.0143,0.3546,0.0174,0.001,0.0889,0.0205,0.0005,0.4972
2022-01-17 23:00:00,0.0123,0.3433,0.0138,0.001,0.0669,0.0207,0.0005,0.45849999999999996
