Time,my-fluentd - daemonset,my-fluentd - statefulset,Total
2022-01-17 22:54:00,0.040199536216935415,0.009015311744756076,0.04921484796169149
2022-01-17 22:54:15,0.03883564107933497,0.010515435936656287,0.04935107701599126
2022-01-17 22:54:30,0.03941422185507349,0.010282493569329008,0.0496967154244025
2022-01-17 22:54:45,0.0406763770701692,0.012002456633713299,0.0526788337038825
2022-01-17 22:55:00,0.04030304186111772,0.011939036189255126,0.05224207805037284
2022-01-17 22:55:15,0.037458205991091335,0.010624624845051757,0.04808283083614309
2022-01-17 22:55:30,0.03938557228849334,0.010847839938957014,0.050233412227450355
2022-01-17 22:55:45,0.03828412666267005,0.009581891671724728,0.04786601833439478
2022-01-17 22:56:00,0.038332265019174194,0.008488880951130914,0.04682114597030511
2022-01-17 22:56:15,0.03884608237290612,0.010121765270028688,0.04896784764293481
2022-01-17 22:56:30,0.03857952744212863,0.010626026388458821,0.049205553830587445
2022-01-17 22:56:45,0.039889757377930726,0.011699968100082562,0.051589725478013285
2022-01-17 22:57:00,0.03919652159611474,0.011672057268139252,0.05086857886425399
2022-01-17 22:57:15,0.03855715888746058,0.010082350601946889,0.04863950948940747
2022-01-17 22:57:30,0.03887934710371317,0.010167374668779506,0.049046721772492675
2022-01-17 22:57:45,0.038769158198342014,0.00942112445428775,0.048190282652629764
2022-01-17 22:58:00,0.039929562944125356,0.009049659482175865,0.04897922242630122
2022-01-17 22:58:15,0.03823032560720195,0.008763407228729828,0.04699373283593178
2022-01-17 22:58:30,0.03874855157261865,0.012420452814586631,0.051169004387205286
2022-01-17 22:58:45,0.046679268194296665,0.012371195221932103,0.05905046341622877
2022-01-17 22:59:00,0.046658591123393954,0.013044256830748373,0.059702847954142324
2022-01-17 22:59:15,0.04929007536932041,0.011622185793692438,0.06091226116301285
2022-01-17 22:59:30,0.03929992006982726,0.01124716777518675,0.05054708784501401
2022-01-17 22:59:45,0.037693318850561305,0.008855779571796889,0.046549098422358194
2022-01-17 23:00:00,0.04070523849495536,0.010256937139140871,0.05096217563409623
